,Brand Name,Product Link,Image Url,Product Name,Product_info,Description,Item NO,Price
0,3M ESPE,product_bybrand_thumb.asp?mfgd=3M+ESPE,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", 3M ESPE,Polyether Tray Adhesive (17ml)#69408,Mfg. Part #: 69408,,E-mail addresses will be kept confidential.
1,Accutron,product_bybrand_thumb.asp?mfgd=Accutron,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Accutron,Accutron Ultra PC% Nitrous Unit-36100,"Includes: Ultra PC® % Flowmeter, 4-Cylinder Portable System, Scavenging Circuit II.",,E-mail addresses will be kept confidential.
2,Ace Surgical,product_bybrand_thumb.asp?mfgd=Ace+Surgical,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Ace Surgical,AlloOss Cortico/Cancellous Particulate 250-1000 Micron Particles 0.5cc,Mfg. Part #: 01-104-001@,,Disclaimer:
3,Air Techniques,product_bybrand_thumb.asp?mfgd=Air+Techniques,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Air Techniques,CamX Triton HD Camera Sheath (100/pk),Mfg. Part #: J2525,,E-mail addresses will be kept confidential.
4,American Eagle,product_bybrand_thumb.asp?mfgd=American+Eagle,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", American Eagle,American Eagle Gracey # 00/0 Large Round Handle D/E ,Mfg. Part #: AEGA00-0,,E-mail addresses will be kept confidential.
5,Axis,product_bybrand_thumb.asp?mfgd=Axis,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Axis,NTI All Ceram Supermax Tapered,Mfg. Part #: G8002,,E-mail addresses will be kept confidential.
6,Bausch,product_bybrand_thumb.asp?mfgd=Bausch,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Bausch,Arti-Fol Approximal Contact Forceps,Mfg. Part #: BK145,,E-mail addresses will be kept confidential.
7,Baxter,product_bybrand_thumb.asp?mfgd=Baxter,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Baxter,"Non-Sweat Cold Packs 6x6.5""",Mfg. Part #: 11445-020B,,E-mail addresses will be kept confidential.
8,Bien Air,product_bybrand_thumb.asp?mfgd=Bien+Air,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Bien Air,2 Piece Handpiece Kit ,Mfg. Part #: 133.03.01-S,,E-mail addresses will be kept confidential.
9,Biotrol,product_bybrand_thumb.asp?mfgd=Biotrol,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Biotrol,Perfect Choice Polishing Powder Bottle (1-539gm),Mfg. Part #: POW100,N/A,E-mail addresses will be kept confidential.
10,Bonart,product_bybrand_thumb.asp?mfgd=Bonart,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Bonart,ART-MB3 Magnetostrictive built-in type scaler unit,"Contains: PC Board, LCD digital display screen, VR Switch Set, Terminal Block, Magnet Handpiece w/Cable Assembly, 2 Inserts",,E-mail addresses will be kept confidential.
11,Bosworth,product_bybrand_thumb.asp?mfgd=Bosworth,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Bosworth,Masque Silicone Lubricant 2.5oz. Tube,Mfg. Part #: 0921530,,E-mail addresses will be kept confidential.
12,Buffalo,product_bybrand_thumb.asp?mfgd=Buffalo,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Buffalo,Blaster Doctor Chairside Hook-up,Replacement Parts and accessories,,E-mail addresses will be kept confidential.
13,Carestream,product_bybrand_thumb.asp?mfgd=Carestream,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Carestream,Carestream DF-48 One-Film Packet (Box of 50) ,Mfg. Part #: 8348658,,E-mail addresses will be kept confidential.
14,Centrix,product_bybrand_thumb.asp?mfgd=Centrix,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Centrix,	Access Tray Adhesive (10ml),Mfg. Part #: 360005,N/A,E-mail addresses will be kept confidential.
15,Coltene Whaledent,product_bybrand_thumb.asp?mfgd=Coltene+Whaledent,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Coltene Whaledent,Ortho Resin Clear (1lb.) ,Mfg. Part #: 02100,N/A,E-mail addresses will be kept confidential.
16,Covidien/Monoject,product_bybrand_thumb.asp?mfgd=Covidien/Monoject,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Covidien/Monoject,Monoject #400 Needle 25 Gauge/Short (100),Mfg. Part #: 400041,P716366,E-mail addresses will be kept confidential.
17,Cranberry,product_bybrand_thumb.asp?mfgd=Cranberry,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Cranberry,Compo-Dots Refill Small (100) BeeSure Air Water Syringe Tips W/Core Pkg of 250,Mfg. Part #: BE402,,E-mail addresses will be kept confidential.
18,Cross Protection,product_bybrand_thumb.asp?mfgd=Cross+Protection,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Cross Protection,Cross Protection Dappen Dish Blue Pkg of 1000,Mfg. Part #: 5-200B,,E-mail addresses will be kept confidential.
19,Crosstex,product_bybrand_thumb.asp?mfgd=Crosstex,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Crosstex,Luer Lock Needles 30g x 1 Short (100),Mfg. Part #: 305128,,E-mail addresses will be kept confidential.
20,Danville,product_bybrand_thumb.asp?mfgd=Danville,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Danville,Aluminum Oxide Powder 27 Micron,Mfg. Part #: 80042A,,E-mail addresses will be kept confidential.
21,Deepak,product_bybrand_thumb.asp?mfgd=Deepak,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Deepak,Gelato 20% Benzocaine Strawberry 1oz,Mfg. Part #: 03-02219,,E-mail addresses will be kept confidential.
22,Den-Mat,product_bybrand_thumb.asp?mfgd=Den-Mat,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Den,"Buy 5 2-Pack Impression Cartridges, Get 1 FREE!",Valid only on marked items. Free goods ship with your order,,E-mail addresses will be kept confidential.
23,Dentamerica,product_bybrand_thumb.asp?mfgd=Dentamerica,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Dentamerica,Blendex 110V Unit,Mfg. Part #: 109,N/A,E-mail addresses will be kept confidential.
24,Dentazon,product_bybrand_thumb.asp?mfgd=Dentazon,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Dentazon,Dentazon White Cartridge Warmer Unit,Mfg. Part #: AW-1800,,E-mail addresses will be kept confidential.
25,Denticator,product_bybrand_thumb.asp?mfgd=Denticator,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Denticator,"Denticator Light Sleeve 5-3/4""w x 4-1/2""L",Mfg. Part #: 670350,,E-mail addresses will be kept confidential.
26,Dentsply®,/catalog/products_bymfg_dentsply.asp,N/A,N/A,Tray Adhesive For A-Silicone 10ml.,Mfg. Part #: 999394,,E-mail addresses will be kept confidential.
27,DMG,product_bybrand_thumb.asp?mfgd=DMG,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", DMG,Provisional  Shade 81 - Powder Only  180 gm ,Mfg. Part #: 28681,N/A,E-mail addresses will be kept confidential.
28,Dux,product_bybrand_thumb.asp?mfgd=Dux,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Dux,Acrylic Polisher Blue Kit,Mfg. Part #: 0630SO,A150040,E-mail addresses will be kept confidential.
29,Edenta,product_bybrand_thumb.asp?mfgd=Edenta,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Edenta,Envy Resin Cement Syringe Translucent  (9gm),Mfg. Part #: 960-00,,E-mail addresses will be kept confidential.
30,EDS,product_bybrand_thumb.asp?mfgd=EDS,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", EDS,Gates Ultra Short Drill 15mm #1 Pkg of 6,Mfg. Part #: 0314010601GC,A150038,E-mail addresses will be kept confidential.
31,FKGDentaire,product_bybrand_thumb.asp?mfgd=FKGDentaire,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", FKGDentaire,Exposure Articulating Film Pkg of 200,Mfg. Part #: 24300,N/A,E-mail addresses will be kept confidential.
32,Flow,product_bybrand_thumb.asp?mfgd=Flow,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Flow,Pattern Resin Standard Pkg ,"Contains: 100 gm powder, 100 gm liquid & access
",N/A,E-mail addresses will be kept confidential.
33,GC,product_bybrand_thumb.asp?mfgd=GC,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", GC,Buy 3 and get 1 Free.,"To qualify and receive your promotional goods please submit a valid proof of purchase to Gingi-Pak. Email info@gingi-pak.com or Fax 805-484-5076. Cannot Be Combined With Any Other Offer, No Cash Value. Same or Lesser Item(s) Applied. Offers are valid only at participating dealers in the continental US, excluding AK and HI. Promotions are subject to change or cancellation without notice. Please allow 6-8 weeks for delivery.",A230124,E-mail addresses will be kept confidential.
34,Gingipak,product_bybrand_thumb.asp?mfgd=Gingipak,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Gingipak,Air-Flow Plus Powder 120g Bottle,Mfg. Part #: DV-117/A,N/A,E-mail addresses will be kept confidential.
35,Hu-Friedy,product_bybrand_thumb.asp?mfgd=Hu-Friedy,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Hu,Astra Type Syringe,Mfg. Part #: 07-805,A230113,E-mail addresses will be kept confidential.
36,Integra Miltex®,product_bybrand_thumb.asp?mfgd=Integra+Miltex®,N/A,N/A,RondoFlex Plus 360 System,Mfg. Part #: 1002.2179,N/A,"KaVo products available only in select areas.
												Contact your local Pearson branch for more details."
37,Johnson & Johnson,product_bybrand_thumb.asp?mfgd=Johnson+%26+Johnson,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Johnson & Johnson,	HiLite Power 3D Curing Light,Mfg. Part #: 66069514,N/A,E-mail addresses will be kept confidential.
38,Kavo,product_bybrand_thumb.asp?mfgd=Kavo,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Kavo,E-Vac 1 Gallon,1 oz. Makes 1 Quart Solution,A325072,E-mail addresses will be kept confidential.
39,Kerr®,product_bybrand_thumb.asp?mfgd=Kerr®,N/A,N/A,Silk Black Braided on Spools Suture 3-0  100 yards,Non-Sterile,N/A,E-mail addresses will be kept confidential.
